Name,Producer,Socket,TDP_Bin
AMD Ryzen 5 5600X,AMD,AM4,<=65W
AMD Athlon 3000G,AMD,AM4,<=65W
AMD Ryzen 3 3300X,AMD,AM4,<=65W
AMD Ryzen 5 5500,AMD,AM4,<=65W
AMD Ryzen 5 5600,AMD,AM4,<=65W
AMD Ryzen 5 5600G,AMD,AM4,<=65W
AMD Ryzen 5 7600,AMD,AM5,<=65W
AMD Ryzen 5 7600X,AMD,AM5,96-125W
AMD Ryzen 7 5700G,AMD,AM4,<=65W
AMD Ryzen 7 5700X,AMD,AM4,<=65W
AMD Ryzen 7 5800X,AMD,AM4,96-125W
AMD Ryzen 7 5800X3D,AMD,AM4,96-125W
AMD Ryzen 7 7700,AMD,AM5,<=65W
AMD Ryzen 7 7700X,AMD,AM5,96-125W
AMD Ryzen 7 7800X3D,AMD,AM5,96-125W
AMD Ryzen 9 5900X,AMD,AM4,96-125W
AMD Ryzen 9 5950X,AMD,AM4,96-125W
AMD Ryzen 9 7900,AMD,AM5,<=65W
AMD Ryzen 9 7900X,AMD,AM5,>125W
AMD Ryzen 9 7950X,AMD,AM5,>125W
AMD Ryzen Threadripper 3960X,AMD,TRX40,
AMD Ryzen Threadripper 3970X,AMD,TRX40,
AMD Ryzen Threadripper 3990X,AMD,TRX40,
Intel Core i3-12100,Intel,1700,<=65W
Intel Core i3-12100F,Intel,1700,<=65W
Intel Core i5-12400,Intel,1700,<=65W
Intel Core i5-12400F,Intel,1700,<=65W
Intel Core i5-12500,Intel,1700,<=65W
Intel Core i5-12600,Intel,1700,<=65W
Intel Core i5-12600K,Intel,1700,96-125W
Intel Core i5-12600KF,Intel,1700,96-125W
Intel Core i5-13400,Intel,1700,<=65W
Intel Core i5-13400F,Intel,1700,<=65W
Intel Core i5-13600K,Intel,1700,96-125W
Intel Core i5-13600KF,Intel,1700,96-125W
Intel Core i7-12700,Intel,1700,<=65W
Intel Core i7-12700K,Intel,1700,96-125W
Intel Core i7-13700,Intel,1700,<=65W
Intel Core i7-13700F,Intel,1700,<=65W
Intel Core i7-13700K,Intel,1700,96-125W
Intel Core i7-13700KF,Intel,1700,96-125W
Intel Core i9-12900,Intel,1700,<=65W
Intel Core i9-12900K,Intel,1700,96-125W
Intel Core i9-12900KF,Intel,1700,96-125W
Intel Core i9-13900,Intel,1700,<=65W
Intel Core i9-13900F,Intel,1700,<=65W
Intel Core i9-13900K,Intel,1700,96-125W
Intel Core i9-13900KF,Intel,1700,96-125W
AMD A10-6790K,AMD,FM2,96-125W
AMD A10-7800,AMD,FM2+,<=65W
AMD A10-7850K,AMD,FM2+,66-95W
AMD A10-7860K,AMD,FM2+,<=65W
AMD A10-7870K,AMD,FM2+,66-95W
AMD A10-7890K,AMD,FM2+,66-95W
AMD A10-9700,AMD,AM4,<=65W
AMD A10-9700E,AMD,AM4,<=65W
AMD A12-9800,AMD,AM4,<=65W
AMD A12-9800E,AMD,AM4,<=65W
AMD A4-4020,AMD,"FM2, FM2+",<=65W
AMD A4-5300,AMD,FM2,<=65W
AMD A4-7300,AMD,FM2,<=65W
AMD A6-6400K,AMD,FM2,<=65W
AMD A6-6420K,AMD,"FM2, FM2+",<=65W
AMD A6-7400K,AMD,FM2+,<=65W
AMD A6-7470K,AMD,FM2+,<=65W
AMD A6-9500,AMD,AM4,<=65W
AMD A6-9500E,AMD,AM4,<=65W
AMD A8-6600K,AMD,FM2,96-125W
AMD A8-7600,AMD,FM2+,<=65W
AMD A8-7650K,AMD,FM2+,66-95W
AMD A8-7650K,AMD,FM2+,66-95W
AMD A8-7670K,AMD,FM2+,66-95W
AMD A8-9600,AMD,AM4,<=65W
AMD Athlon 200GE,AMD,AM4,<=65W
AMD Athlon 220GE,AMD,AM4,<=65W
AMD Athlon 240GE,AMD,AM4,<=65W
AMD Athlon X4 845,AMD,FM2+,<=65W
