Name,Producer,Watt_Bin
"Seasonic Core GM 80 Plus Gold, semi-modular",Seasonic,601-750W
Aerocool Project 7,Aerocool,601-750W
Aerocool Project 7,Aerocool,601-750W
be quiet! Dark Power Pro P11 modular,be quiet!,601-750W
be quiet! Dark Power Pro P11 modular,be quiet!,901-1200W
be quiet! Dark Power Pro P11 modular,be quiet!,901-1200W
be quiet! Dark Power Pro P11 modular,be quiet!,751-900W
be quiet! Pure Power 11 80 PLUS Bronze,be quiet!,<=450W
be quiet! Pure Power 11 80 PLUS Gold,be quiet!,451-600W
be quiet! Pure Power 11 80 PLUS Gold,be quiet!,<=450W
be quiet! Pure Power 11 80 PLUS Gold,be quiet!,451-600W
be quiet! Pure Power 11 80 PLUS Gold,be quiet!,601-750W
be quiet! Pure Power 11 CM 80 PLUS Gold,be quiet!,451-600W
be quiet! Pure Power 11 CM 80 PLUS Gold,be quiet!,<=450W
be quiet! Pure Power 11 CM 80 PLUS Gold,be quiet!,451-600W
be quiet! Pure Power 11 CM 80 PLUS Gold,be quiet!,601-750W
be quiet! Pure Power 12M,be quiet!,751-900W
be quiet! Pure Power 12M,be quiet!,451-600W
be quiet! Pure Power 12M,be quiet!,601-750W
be quiet! Pure Power 12M,be quiet!,601-750W
be quiet! Straight Power 11,be quiet!,751-900W
be quiet! Straight Power 11,be quiet!,901-1200W
BitFenix Formula 80 PLUS Gold,BitFenix,<=450W
BitFenix Formula 80 PLUS Gold,BitFenix,451-600W
BitFenix Formula 80 PLUS Gold,BitFenix,601-750W
BitFenix Whisper M 80 PLUS Gold,BitFenix,<=450W
BitFenix Whisper M 80 PLUS Gold,BitFenix,601-750W
BitFenix Whisper M 80 PLUS Gold,BitFenix,451-600W
BitFenix Whisper M 80 PLUS Gold,BitFenix,751-900W
Cooler Master MasterWatt,Cooler Master,<=450W
Corsair CX450,Corsair,<=450W
Corsair CX450M,Corsair,<=450W
Corsair CX550,Corsair,451-600W
Corsair RM Series RM1000i,Corsair,901-1200W
Corsair RM Series RM650,Corsair,601-750W
Corsair RM Series RM750,Corsair,601-750W
Corsair RM Series RM850,Corsair,751-900W
Corsair RM Series RM850i,Corsair,751-900W
Corsair RM550x,Corsair,451-600W
Corsair RM750x,Corsair,601-750W
Corsair RMX Series RM1000x,Corsair,901-1200W
Corsair RMX Series RM750x,Corsair,601-750W
Corsair RMX Series RM850x,Corsair,751-900W
Corsair RMX Series RMX550,Corsair,451-600W
Corsair RMX Series RMX550x,Corsair,451-600W
Corsair RMX Series RMX650,Corsair,601-750W
Corsair RMX Series RMX650x,Corsair,601-750W
Corsair RMX Series RMX750,Corsair,601-750W
Corsair RMX Series RMX850,Corsair,751-900W
Corsair SF Series SF450 80 PLUS Gold SFX,Corsair,<=450W
Corsair TX550M,Corsair,451-600W
Corsair TX550M Series Modular,Corsair,451-600W
Corsair TX650M,Corsair,601-750W
Corsair TX650M Series Modular,Corsair,601-750W
Corsair TX750M,Corsair,601-750W
Corsair TX750M Series Modular,Corsair,601-750W
Corsair TX850M,Corsair,751-900W
Corsair TX850M Series Modular,Corsair,751-900W
Corsair Vengeance Series V500,Corsair,451-600W
Corsair Vengeance Series V550M,Corsair,451-600W
Cougar VTX,Cougar,<=450W
EVGA 450B,EVGA,<=450W
EVGA 500B,EVGA,451-600W
EVGA SuperNOVA 550 G3,EVGA,451-600W
EVGA SuperNOVA 650 G3,EVGA,601-750W
EVGA SuperNOVA 750 G2,EVGA,601-750W
EVGA Supernova 750 G2L,EVGA,601-750W
EVGA SuperNOVA 750 G3,EVGA,601-750W
EVGA SuperNOVA 850 G2,EVGA,751-900W
EVGA SuperNOVA G2,EVGA,
EVGA SuperNOVA G2,EVGA,
EVGA SuperNOVA G2,EVGA,901-1200W
EVGA SuperNOVA G2,EVGA,601-750W
EVGA SuperNOVA G2,EVGA,601-750W
EVGA SuperNOVA G2,EVGA,451-600W
EVGA SuperNOVA G3,EVGA,901-1200W
EVGA SuperNOVA G3,EVGA,601-750W
EVGA SuperNOVA P2,EVGA,751-900W
EVGA SuperNOVA P2,EVGA,901-1200W
EVGA SuperNOVA P2,EVGA,601-750W
EVGA SuperNOVA P2 80 PLUS Platinum,EVGA,601-750W
Kolink Enclave 80 PLUS Gold,Kolink,451-600W
Kolink SFX-250,Kolink,<=450W
Kolink SFX-350,Kolink,<=450W
PHANTEKS AMP 80 PLUS Gold,PHANTEKS,601-750W
PHANTEKS AMP 80 PLUS Gold,PHANTEKS,451-600W
Seasonic Core GC 80 Plus Gold,Seasonic,601-750W
Seasonic Core GC 80 PLUS Gold,Seasonic,451-600W
Seasonic Core GM 80 PLUS Gold,Seasonic,451-600W
Seasonic FOCUS 550 GOLD,Seasonic,451-600W
Seasonic Focus GX 80 Plus Gold,Seasonic,451-600W
Seasonic Focus GX 80 Plus Gold,Seasonic,601-750W
Seasonic Focus GX 80 Plus Gold,Seasonic,601-750W
Seasonic Focus GX 80 PLUS Gold,Seasonic,751-900W
Seasonic Focus PX 80 Plus Platinum 750 Watt,Seasonic,601-750W
"Seasonic P-Series, Fanless 80 PLUS Platinum",Seasonic,<=450W
Seasonic PRIME 650 GOLD,Seasonic,601-750W
Seasonic PRIME 750 W Platinum,Seasonic,601-750W
Seasonic Prime PX 80 PLUS Platinum,Seasonic,601-750W
Seasonic Prime Ultra 80 PLUS Platinum,Seasonic,601-750W
Seasonic Snow Silent,Seasonic,901-1200W
Silverstone SST-ST45SF V2.0 Strider Series SFX,Silverstone,<=450W
Silverstone SST-SX500-LG v2.0 SFX-L 80 PLUS Gold,Silverstone,451-600W
Silverstone SST-SX600-G Strider Gold Series,Silverstone,451-600W
Silverstone SST-SX800-LTI SFX-L 80 PLUS Titanium,Silverstone,751-900W
Super Flower Golden Green HX,Super Flower,<=450W
Super Flower Golden Green HX,Super Flower,451-600W
"Super Flower Leadex 80 PLUS Platinum, black",Super Flower,601-750W
Super Flower Leadex II,Super Flower,601-750W
Super Flower Leadex II,Super Flower,601-750W
Super Flower Leadex II,Super Flower,601-750W
Super Flower Leadex II,Super Flower,601-750W
Super Flower Leadex III 80 PLUS Gold,Super Flower,451-600W
Super Flower Leadex III 80 PLUS Gold,Super Flower,601-750W
Super Flower Leadex III 80 PLUS Gold,Super Flower,601-750W
Super Flower Leadex III 80 PLUS Gold,Super Flower,751-900W
Super Flower Leadex III ARGB 80 PLUS Gold,Super Flower,751-900W
Super Flower Leadex III ARGB 80 PLUS Gold,Super Flower,601-750W
Super Flower Leadex III ARGB 80 PLUS Gold,Super Flower,601-750W
Super Flower Leadex III ARGB 80 PLUS Gold,Super Flower,451-600W
Super Flower Platinum King,Super Flower,601-750W
Super Flower Platinum King,Super Flower,<=450W
Super Flower Platinum King,Super Flower,451-600W
Aerocool Aero Bronze 500W 80 PLUS Bronze,Aerocool,451-600W
Aerocool Aero Bronze 550M 80 PLUS Bronze,Aerocool,451-600W
Aerocool Aero Bronze 550W 80 PLUS Bronze,Aerocool,451-600W
Aerocool Aero Bronze 600W 80 PLUS Bronze,Aerocool,451-600W
Aerocool Aero Bronze 650M 80 PLUS Bronze,Aerocool,601-750W
Aerocool Aero Bronze 650W 80 PLUS Bronze,Aerocool,601-750W
Aerocool Aero Bronze 700W 80 PLUS Bronze,Aerocool,601-750W
Aerocool Aero Bronze 750M 80 PLUS Bronze,Aerocool,601-750W
Aerocool Aero Bronze 750W 80 PLUS Bronze,Aerocool,601-750W
Aerocool Aero Bronze 850M 80 PLUS Bronze,Aerocool,751-900W
Aerocool Aero Cylon 400W 80 PLUS,Aerocool,<=450W
Aerocool Aero White 500 80 PLUS,Aerocool,451-600W
Aerocool Aero White 550 80 PLUS,Aerocool,451-600W
Aerocool Aero White 600 80 PLUS,Aerocool,451-600W
Aerocool Aero White 650 80 PLUS,Aerocool,601-750W
Aerocool Aero White 700 80 PLUS,Aerocool,601-750W
Aerocool Cylon RGB 500W 80 PLUS,Aerocool,451-600W
Aerocool Cylon RGB 600W 80 PLUS,Aerocool,451-600W
Aerocool Cylon RGB 700W 80 PLUS,Aerocool,601-750W
Aerocool Project 7,Aerocool,751-900W
Aerocool Xpredator 400 80 PLUS Bronze,Aerocool,<=450W
Aerocool Xpredator 500,Aerocool,451-600W
Aerocool Xpredator 600,Aerocool,451-600W
Aerocool Xpredator 700,Aerocool,601-750W
