Name,Producer,Ram Type,Size_Bin
Corsair Vengeance RGB RS,Corsair,DDR4,16GB
ADATA Lancer DDR5-5200,ADATA,DDR5,16GB
ADATA Premier DDR5-4800,ADATA,DDR5,16GB
ADATA XPG Spectrix D80 red,ADATA,DDR4,32GB
ADATA XPG Spectrix D80 black,ADATA,DDR4,16GB
ADATA XPG Spectrix RGB D41 grey,ADATA,DDR4,16GB
ADATA XPG Spectrix RGB D41 grey,ADATA,DDR4,32GB
ADATA XPG Spectrix RGB D41 grey,ADATA,DDR4,16GB
ADATA XPG Spectrix RGB D41 red,ADATA,DDR4,16GB
ADATA XPG Spectrix RGB D41 red,ADATA,DDR4,16GB
ADATA XPG Spectrix RGB D60G grey,ADATA,DDR4,16GB
ADATA XPG Spectrix RGB D60G grey,ADATA,DDR4,16GB
"Avexir Blitz Series, weiße LED, DDR4-3600, CL17 - 16 GB Kit",Avexir,DDR4,16GB
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 16 GB Kit",Avexir,DDR4,16GB
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB",Avexir,DDR4,8GB
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB Kit",Avexir,DDR4,8GB
"Avexir Core Series, grüne LED, DDR4-2400, CL16 - 8 GB",Avexir,DDR4,8GB
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 32 GB Kit",Avexir,DDR4,32GB
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB",Avexir,DDR4,8GB
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB Kit",Avexir,DDR4,8GB
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB",Avexir,DDR4,8GB
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB Kit",Avexir,DDR4,8GB
Ballistix Sport DDR4-2400 CL16,Ballistix,DDR4,4GB
Ballistix Sport DDR4-2400 CL16,Ballistix,DDR4,8GB
Ballistix Sport LT DDR4-2400 red CL16,Ballistix,DDR4,32GB
Corsair Dominator Platinum + AF,Corsair,DDR4,16GB
Corsair Dominator Platinum DDR4-2666 CL15,Corsair,DDR4,32GB
Corsair Dominator Platinum RGB Series,Corsair,DDR4,16GB
Corsair Dominator Platinum RGB Series,Corsair,DDR4,16GB
Corsair Dominator Platinum RGB Series,Corsair,DDR4,32GB
Corsair Dominator Platinum RGB Series,Corsair,DDR4,16GB
Corsair Dominator Platinum RGB Series,Corsair,DDR4,32GB
Corsair Dominator Platinum Series 16GB,Corsair,DDR4,16GB
Corsair Dominator Platinum Series 16GB,Corsair,DDR4,16GB
Corsair Dominator Platinum Series 32GB,Corsair,DDR4,32GB
