Name,Producer,Vram_Bin,TDP_Bin
Sapphire Pulse Radeon RX 6600 Gaming,SAPPHIRE,8GB,<=150W
Aorus RTX 3070 Master,Gigabyte,8GB,151-250W
ASRock Arc A750 Challenger D OC,ASRock,8GB,151-250W
ASRock Radeon RX 7600 Challenger 8GO,ASRock,8GB,151-250W
ASRock Radeon RX 7600 Phantom Gaming 8GO,ASRock,8GB,151-250W
ASRock Radeon RX 7600 Steel Legend 8GO,ASRock,8GB,151-250W
ASRock Radeon RX 7700 XT Challenger 12GO,ASRock,12GB,151-250W
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,ASRock,12GB,151-250W
ASRock Radeon RX 7700 XT Steel Legend 12GO,ASRock,12GB,151-250W
ASRock Radeon RX 7800 XT Challenger 16GO,ASRock,24GB+,251-350W
ASRock Radeon RX 7800 XT Phantom Gaming 16GO,ASRock,24GB+,251-350W
ASRock Radeon RX 7800 XT Steel Legend 16GO,ASRock,24GB+,251-350W
ASUS GeForce RTX 3050 Dual,ASUS,8GB,<=150W
ASUS GeForce RTX 3050 Phoenix,ASUS,8GB,<=150W
ASUS GeForce RTX 3050 ROG Strix,ASUS,8GB,<=150W
ASUS GeForce RTX 3060 Dual LHR,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 Dual OC,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 Phoenix V2 12G LHR,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 ROG Strix,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 ROG Strix LHR,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 ROG Strix OC,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 Ti Dual Mini V2 O8G LHR,ASUS,8GB,151-250W
ASUS GeForce RTX 3060 Ti Dual V2 O8G LHR,ASUS,8GB,151-250W
ASUS GeForce RTX 3060 Ti ROG Strix V2 O8G LHR,ASUS,8GB,151-250W
ASUS GeForce RTX 3060 Ti TUF V2 8G LHR,ASUS,8GB,151-250W
ASUS GeForce RTX 3060 Ti TUF V2 O8G LHR,ASUS,8GB,151-250W
ASUS GeForce RTX 3060 TUF,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 TUF LHR,ASUS,12GB,151-250W
ASUS GeForce RTX 3060 TUF OC,ASUS,12GB,151-250W
ASUS GeForce RTX 3070 Dual V2 O8G LHR,ASUS,8GB,151-250W
