Name,Producer,Socket,Chipset,Memory Type
MSI B550-A Pro,MSI,AM4,B550,DDR4
ASRock B250 Pro4,ASRock,1151,B250,DDR4
ASRock B360 Pro4,ASRock,1151,B360,DDR4
ASRock B360M Pro4,ASRock,1151,B360,DDR4
ASRock B360M-ITX/AC,ASRock,1151,B360,DDR4
ASRock B650 PG Lightning,ASRock,AM5,B650,DDR5
ASRock B650 Pro RS,ASRock,AM5,B650,DDR5
ASRock B650M PG Riptide,ASRock,AM5,B650E,DDR5
ASRock Fatal1ty B250M Performance,ASRock,1151,B250,DDR4
ASRock Fatal1ty X399 Professional Gaming,ASRock,TR4,X399,DDR4
ASRock H110M-HDS,ASRock,1151,H110,DDR4
ASRock H110M-ITX/ac,ASRock,1151,H110,DDR4
ASRock X299 Gaming K6,ASRock,2066,X299,DDR4
ASRock X399 Taichi,ASRock,TR4,X399,DDR4
"ASRock X570 Taichi, AMD X570",ASRock,AM4,X570,DDR4
ASRock X99 Taichi,ASRock,2011-V3,X99,DDR4
ASRock X99E-ITX/AC,ASRock,2011-V3,X99,DDR4
ASRock Z270 Killer SLI,ASRock,1151,Z270,DDR4
ASRock Z270 Pro4,ASRock,1151,Z270,DDR4
ASRock Z270M Pro4,ASRock,1151,Z270,DDR4
ASRock Z270M-ITX/ac,ASRock,1151,Z270,DDR4
ASRock Z370 Pro4,ASRock,1151,Z370,DDR4
ASRock Z370M Pro4,ASRock,1151,Z370,DDR4
ASRock Z390 Extreme 4,ASRock,1151,Z390,DDR4
ASRock Z390 Taichi,ASRock,1151,Z390,DDR4
ASRock Z790 PG Lightning,ASRock,1700,Z790,DDR5
ASUS B150I-PRO Gaming/Aura USB3.0/M.2/HDMI/DVI Mini-ITX,Asus,1151,B150,DDR4
ASUS B150M-A GL/USB3.1/SATA600/HDMI/VGA/DVI B150,Asus,1151,B150,DDR4
ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150,Asus,1151,B150,DDR4
ASUS B365-PLUS,ASUS,1151,B365,DDR4
ASUS MAXIMUS VIII Impact USB3.1/SATA600/U.2/WIFI/BT/HDMI Mini-ITX,Asus,1151,Z170,DDR4
ASUS Maximus VIII RANGER,ASUS,1151,Z170,DDR4
ASUS PRIME B250M-A,ASUS,1151,B250,DDR4
ASUS PRIME B250M-C,ASUS,1151,B250,DDR4
ASUS Prime B660-Plus D4,ASUS,1700,B660,DDR4
ASUS Prime B660M-A D4,ASUS,1700,B660,DDR4
ASUS Prime B660M-A WiFi D4,ASUS,1700,B660,DDR4
