CPU_Producer:AMD,CPU_Producer:Intel,CPU_Socket:1151,CPU_Socket:1200,CPU_Socket:1700,CPU_Socket:2011-V3,CPU_Socket:2066,CPU_Socket:AM4,CPU_Socket:AM5,CPU_Socket:FM2+,CPU_Socket:TR4,CPU_Socket:TRX40,CPU_Socket:sWRX8,CPU_TDP:66-95W,CPU_TDP:96-125W,CPU_TDP:<=65W,CPU_TDP:>125W,CPU_TDP:nan,GPU_Producer:ASRock,GPU_Producer:ASUS,GPU_Producer:Club 3D,GPU_Producer:EVGA,GPU_Producer:Gainward,GPU_Producer:Galax,GPU_Producer:Gigabyte,GPU_Producer:HIS,GPU_Producer:INNO3D,GPU_Producer:Intel,GPU_Producer:KFA2,GPU_Producer:MSI,GPU_Producer:PNY,GPU_Producer:Palit,GPU_Producer:PowerColor,GPU_Producer:SAPPHIRE,GPU_Producer:Sapphire,GPU_Producer:Sparkle,GPU_Producer:XFX,GPU_Producer:ZOTAC,GPU_TDP:151-250W,GPU_TDP:251-350W,GPU_TDP:<=150W,GPU_TDP:>350W,GPU_TDP:nan,GPU_VRAM:12GB,GPU_VRAM:24GB+,GPU_VRAM:4GB,GPU_VRAM:6GB,GPU_VRAM:8GB,GPU_VRAM:nan,MB_Chipset:A320,MB_Chipset:A520,MB_Chipset:A88X,MB_Chipset:B150,MB_Chipset:B250,MB_Chipset:B350,MB_Chipset:B360,MB_Chipset:B365,MB_Chipset:B450,MB_Chipset:B460,MB_Chipset:B550,MB_Chipset:B560,MB_Chipset:B650,MB_Chipset:B650E,MB_Chipset:B660,MB_Chipset:B760,MB_Chipset:C232,MB_Chipset:C236,MB_Chipset:C246,MB_Chipset:C612,MB_Chipset:H110,MB_Chipset:H170,MB_Chipset:H270,MB_Chipset:H310,MB_Chipset:H370,MB_Chipset:H410,MB_Chipset:H470,MB_Chipset:H510,MB_Chipset:H570,MB_Chipset:H610,MB_Chipset:H670,MB_Chipset:H770,MB_Chipset:Q170,MB_Chipset:Q270,MB_Chipset:TRX40,MB_Chipset:W480,MB_Chipset:WRX80,MB_Chipset:X299,MB_Chipset:X370,MB_Chipset:X399,MB_Chipset:X470,MB_Chipset:X570,MB_Chipset:X570S,MB_Chipset:X670,MB_Chipset:X670E,MB_Chipset:X99,MB_Chipset:Z170,MB_Chipset:Z270,MB_Chipset:Z370,MB_Chipset:Z390,MB_Chipset:Z490,MB_Chipset:Z590,MB_Chipset:Z690,MB_Chipset:Z790,MB_Memory:DDR4,MB_Memory:DDR5,MB_Producer:ASRock,MB_Producer:ASUS,MB_Producer:Asus,MB_Producer:Biostar,MB_Producer:EVGA,MB_Producer:Gigabyte,MB_Producer:King Kits,MB_Producer:MSI,MB_Producer:NZXT,MB_Producer:Supermicro,MB_Socket:1151,MB_Socket:1200,MB_Socket:1700,MB_Socket:2011-V3,MB_Socket:2066,MB_Socket:AM4,MB_Socket:AM5,MB_Socket:FM2+,MB_Socket:TR4,MB_Socket:TRX40,MB_Socket:sWRX8,PSU_Producer:ASUS,PSU_Producer:Aerocool,PSU_Producer:Akasa,PSU_Producer:Antec,PSU_Producer:BitFenix,PSU_Producer:Chieftec,PSU_Producer:Cooler Master,PSU_Producer:Corsair,PSU_Producer:Cougar,PSU_Producer:EVGA,PSU_Producer:Enermax,PSU_Producer:Fractal Design,PSU_Producer:Gigabyte,PSU_Producer:IN WIN,PSU_Producer:Impactics,PSU_Producer:InWin,PSU_Producer:Kolink,PSU_Producer:Lian Li,PSU_Producer:MSI,PSU_Producer:Montech,PSU_Producer:NZXT,PSU_Producer:PHANTEKS,PSU_Producer:Seasonic,PSU_Producer:Silentmaxx,PSU_Producer:Silverstone,PSU_Producer:Streacom,PSU_Producer:Super Flower,PSU_Producer:Thermaltake,PSU_Producer:XFX,PSU_Producer:Xigmatek,PSU_Producer:Xilence,PSU_Producer:Zalman,PSU_Producer:be quiet!,PSU_Watt:451-600W,PSU_Watt:601-750W,PSU_Watt:751-900W,PSU_Watt:901-1200W,PSU_Watt:<=450W,PSU_Watt:nan,RAM_Producer:ADATA,RAM_Producer:Avexir,RAM_Producer:Ballistix,RAM_Producer:Corsair,RAM_Producer:Crucial,RAM_Producer:G. Skill,RAM_Producer:G.Skill,RAM_Producer:Gigabyte,RAM_Producer:HyperX,RAM_Producer:INNO3D,RAM_Producer:Intenso,RAM_Producer:Kingston,RAM_Producer:SAMSUNG,RAM_Producer:Team Group,RAM_Producer:Thermaltake,RAM_Size:128GB+,RAM_Size:16GB,RAM_Size:32GB,RAM_Size:4GB,RAM_Size:64GB,RAM_Size:8GB,RAM_Size:nan,RAM_Type:DDR4,RAM_Type:DDR5
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
