antecedents,consequents,support,confidence,lift,leverage,conviction
frozenset({'CPU_Socket:TR4'}),frozenset({'MB_Chipset:X399'}),0.028,1.0,35.714285714285715,0.027216,inf
frozenset({'MB_Chipset:X399'}),frozenset({'CPU_Socket:TR4'}),0.028,1.0,35.714285714285715,0.027216,inf
frozenset({'MB_Chipset:X399'}),frozenset({'MB_Socket:TR4'}),0.028,1.0,35.714285714285715,0.027216,inf
frozenset({'MB_Socket:TR4'}),frozenset({'MB_Chipset:X399'}),0.028,1.0,35.714285714285715,0.027216,inf
frozenset({'CPU_Socket:TR4'}),frozenset({'MB_Socket:TR4'}),0.028,1.0,35.714285714285715,0.027216,inf
frozenset({'MB_Socket:TR4'}),frozenset({'CPU_Socket:TR4'}),0.028,1.0,35.714285714285715,0.027216,inf
frozenset({'CPU_Socket:AM5'}),frozenset({'MB_Socket:AM5'}),0.03716666666666667,1.0,26.905829596412556,0.035785305555555556,inf
frozenset({'MB_Socket:AM5'}),frozenset({'CPU_Socket:AM5'}),0.03716666666666667,1.0,26.905829596412556,0.035785305555555556,inf
frozenset({'MB_Chipset:X670E'}),frozenset({'MB_Socket:AM5'}),0.023333333333333334,1.0,26.905829596412556,0.022466111111111114,inf
frozenset({'MB_Socket:AM5'}),frozenset({'MB_Chipset:X670E'}),0.023333333333333334,0.6278026905829597,26.905829596412556,0.022466111111111114,2.624056224899599
frozenset({'CPU_Socket:AM5'}),frozenset({'MB_Chipset:X670E'}),0.023333333333333334,0.6278026905829597,26.905829596412556,0.022466111111111114,2.624056224899599
frozenset({'MB_Chipset:X670E'}),frozenset({'CPU_Socket:AM5'}),0.023333333333333334,1.0,26.905829596412556,0.022466111111111114,inf
frozenset({'MB_Socket:2066'}),frozenset({'CPU_Socket:2066'}),0.041166666666666664,1.0,24.291497975708502,0.03947197222222222,inf
frozenset({'CPU_Socket:2066'}),frozenset({'MB_Socket:2066'}),0.041166666666666664,1.0,24.291497975708502,0.03947197222222222,inf
frozenset({'MB_Chipset:X299'}),frozenset({'CPU_Socket:2066'}),0.04066666666666666,1.0,24.291497975708502,0.03899255555555555,inf
frozenset({'CPU_Socket:2066'}),frozenset({'MB_Chipset:X299'}),0.04066666666666666,0.9878542510121457,24.291497975708502,0.03899255555555555,78.9851111111111
frozenset({'MB_Chipset:X299'}),frozenset({'MB_Socket:2066'}),0.04066666666666666,1.0,24.291497975708502,0.03899255555555555,inf
frozenset({'MB_Socket:2066'}),frozenset({'MB_Chipset:X299'}),0.04066666666666666,0.9878542510121457,24.291497975708502,0.03899255555555555,78.9851111111111
frozenset({'MB_Socket:FM2+'}),frozenset({'CPU_Socket:FM2+'}),0.05516666666666667,1.0,18.12688821752266,0.052123305555555555,inf
frozenset({'CPU_Socket:FM2+'}),frozenset({'MB_Socket:FM2+'}),0.05516666666666667,1.0,18.12688821752266,0.052123305555555555,inf
frozenset({'MB_Chipset:A88X'}),frozenset({'CPU_Socket:FM2+'}),0.05516666666666667,1.0,18.12688821752266,0.052123305555555555,inf
frozenset({'CPU_Socket:FM2+'}),frozenset({'MB_Chipset:A88X'}),0.05516666666666667,1.0,18.12688821752266,0.052123305555555555,inf
frozenset({'MB_Chipset:A88X'}),frozenset({'MB_Socket:FM2+'}),0.05516666666666667,1.0,18.12688821752266,0.052123305555555555,inf
frozenset({'MB_Socket:FM2+'}),frozenset({'MB_Chipset:A88X'}),0.05516666666666667,1.0,18.12688821752266,0.052123305555555555,inf
frozenset({'MB_Chipset:X670E'}),frozenset({'RAM_Type:DDR5'}),0.023333333333333334,1.0,11.320754716981131,0.021272222222222224,inf
